Scenario Number,Scenario Name,Planning Area,Sector,End Use,Units,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1,High-Low,LADWP,Commercial,Water Heating,GWh,0,0.059646754,0.058791159,-0.004780281,-0.132870986,-0.32438869,-0.577388122,-0.892934337,-1.273616843,-1.721867657,-2.241440493,-2.829157109
1,High-Low,LADWP,Commercial,Water Heating,MM Therms,0,0.234982438,0.483038226,0.743131052,1.015106359,1.301914578,1.601767488,1.914843176,2.241884472,2.583356236,2.939325474,3.308860321
1,High-Low,LADWP,Commercial,WholeBlg,GWh,0,17.08058954,38.81143092,58.67993953,80.38032142,95.35180487,110.510429,124.8310439,133.440474,142.4231967,149.8496458,157.7432333
1,High-Low,LADWP,Commercial,WholeBlg,MM Therms,0,0.288951711,0.603451265,0.868701883,1.066886032,1.265554203,1.45356571,1.648080585,1.847780597,2.053637162,2.26312193,2.473632843
1,High-Low,LADWP,Industrial,HVAC,GWh,0,0.966542422,1.725819804,2.37746773,3.119301088,4.024946439,4.945042881,5.858833715,6.758274423,7.642050027,8.506597184,9.388591117
1,High-Low,LADWP,Industrial,HVAC,MM Therms,0,0,0,0,0,0.039969531,0.073468997,0.097235288,0.114800633,0.085256519,0.058197225,0.039084563
1,High-Low,LADWP,Industrial,Lighting,GWh,0,4.333295009,8.720942604,13.14166416,17.60523247,22.16296836,26.81185897,31.55372739,36.39043317,41.32387308,46.35598178,51.29038902
1,High-Low,LADWP,Industrial,MachDr,GWh,0,8.324704457,5.947515848,1.167384776,0.248397615,0.946011792,1.891826782,2.256582284,4.619075184,9.336694012,14.91871498,18.89097192
1,High-Low,LADWP,Industrial,ProcHeat,GWh,0,0.300965885,0.537461647,0.74050959,0.971677012,1.253869672,1.540590524,1.825357563,2.105656822,2.381075688,2.650503607,2.925367196
1,High-Low,LADWP,Industrial,ProcHeat,MM Therms,0,0,0,0,0.112423528,0.211452684,0.301196796,0.792764931,1.073352961,1.228989668,1.305196324,1.34821862
1,High-Low,LADWP,Industrial,WholeBlg,MM Therms,0,0.821629745,1.648181076,2.482963174,3.330727042,3.999271262,4.597592879,5.219968984,5.884125343,6.619128997,7.469866675,8.488860842
1,High-Low,LADWP,Mining,OilGasExtract,MM Therms,0,0.029683319,0.055340367,0.079482369,0.102225029,0.124419791,0.145985584,0.166244947,0.185664233,0.205218805,0.224281373,0.242877461
1,High-Low,LADWP,Residential,Behavior,GWh,0,23.80078918,21.96871184,22.41153099,22.86095044,23.32049651,23.80078798,24.29097118,24.79124982,25.30183182,25.82292939,26.33361749
1,High-Low,LADWP,Residential,HVAC - Cooling,GWh,0,5.2002097,12.260272,22.05653137,36.06143634,56.51884306,80.16049268,106.1610127,133.3572505,159.3577004,181.9173013,206.7952207
1,High-Low,LADWP,Residential,HVAC - General,GWh,0,0.080937863,0.163962333,0.248950862,0.335134496,0.423068846,0.512158564,0.603241222,0.695788615,0.789710829,0.884628686,0.979873191
1,High-Low,LADWP,Residential,HVAC - General,MM Therms,0,0.095329966,0.198206349,0.299328054,0.398781238,0.498889731,0.60105837,0.703297991,0.794378009,0.888128623,0.986002204,1.082419971
1,High-Low,LADWP,Residential,HVAC - Heating,GWh,0,-0.16441187,-0.502042577,-1.005495482,-1.657511741,-2.437841161,-3.336745141,-4.396422509,-5.620447927,-7.012068349,-8.574581395,-10.29334575
1,High-Low,LADWP,Residential,HVAC - Heating,MM Therms,0,0.023265243,0.071031401,0.142286069,0.234576813,0.345148678,0.472588077,0.622940382,0.79674878,0.994458193,1.216562071,1.461024603
1,High-Low,LADWP,Residential,Lighting - General,GWh,0,90.24314502,132.1707721,153.032199,170.6605346,190.7832866,214.5046429,241.4141455,268.6830114,289.800253,304.8889667,326.0394124
1,High-Low,LADWP,Residential,Miscellaneous,GWh,0,12.06273257,25.32552426,39.90804908,53.61085507,70.07365346,85.60631085,93.56399753,90.49200902,80.6631148,68.35005541,60.6354695
1,High-Low,LADWP,Residential,Miscellaneous,MM Therms,0,0.019895877,0.040287913,0.061188482,0.082551222,0.104336355,0.12640988,0.148533822,0.170218849,0.190658208,0.208772272,0.223694958
1,High-Low,LADWP,Residential,Plug Load - Appliances,GWh,0,0,0.111568833,0.241193487,0.383298606,0.546553848,0.742504029,0.977563826,1.248720941,1.544808051,1.850428041,2.138816594
1,High-Low,LADWP,Residential,Plug Load - Appliances,MM Therms,0,0.11406573,0.240216875,0.376556001,0.532195437,0.697436012,0.869228565,1.045478525,1.225223927,1.408431183,1.594694559,1.783730622
1,High-Low,LADWP,Residential,Plug Load - Consumer Electronics,GWh,0,0.419165719,0.72137875,0.983075764,1.232036241,1.477299597,1.707323338,1.509941856,1.450533363,1.46252853,1.454552531,1.420860285
1,High-Low,LADWP,Residential,Refrig/Freezer,GWh,0,69.96264869,122.7639973,170.8271647,190.5400492,192.9198179,188.9509259,199.0597848,211.6939982,226.3510877,242.2995128,256.590832
1,High-Low,LADWP,Residential,Water Heating,GWh,0,11.6743255,21.42601199,29.85870965,37.39035011,44.26090473,50.5897991,52.3954495,53.2696725,49.28111649,44.12708906,41.66142434
1,High-Low,LADWP,Residential,Water Heating,MM Therms,0,0.387620523,0.804371389,1.173978404,1.56876858,1.926076487,2.302589991,2.68753203,3.078798218,3.480128835,3.8930052,4.315156254
1,High-Low,LADWP,Residential,WholeBlg,GWh,0,28.84694435,57.67929964,89.3152004,123.332103,159.9285999,198.6962472,239.6209689,284.7184237,331.6806833,380.6657069,427.0740509
1,High-Low,LADWP,Residential,WholeBlg,MM Therms,0,1.524219925,1.757589882,1.987901239,2.220151343,2.459249961,2.699986021,2.943908966,3.190163663,3.438690468,3.680140086,3.907602169
1,High-Low,LADWP,Streetlighting,Street Lighting,GWh,0,16.61662579,34.20928736,53.30879446,74.47079122,98.49226056,125.8497038,155.7689341,187.509601,220.044192,253.1227685,285.5323902
1,High-Low,NCNC,AGWP,Lighting,MM Therms,0,-0.002616115,-0.005218446,-0.007445131,-0.009080881,-0.01013582,-0.010751621,-0.008469888,-0.006037351,-0.003905446,-0.002317185,-0.001274449
1,High-Low,NCNC,AGWP,MachDr,GWh,0,2.368106526,4.978184256,7.821040699,10.80617793,13.81285386,16.32319838,18.1545206,19.41714411,20.27632136,20.92642836,21.88279362
1,High-Low,NCNC,AGWP,WholeBlg,MM Therms,0,0.043031721,0.083810371,0.122470426,0.159140901,0.192774242,0.224119056,0.253789338,0.281935998,0.308749475,0.334332567,0.358803267
1,High-Low,NCNC,Commercial,Behavior,GWh,0,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229,7.229591229
1,High-Low,NCNC,Commercial,Cooking,GWh,0,0.183616387,0.371371515,0.563339193,0.759532213,0.959713287,1.073878226,0.878545774,0.910273756,0.560452552,0.577982517,0.60261149
1,High-Low,NCNC,Commercial,Cooking,MM Therms,0,0.011322515,0.022948772,0.034608232,0.046080311,0.057538023,0.073257323,0.092805276,0.122482207,0.161058705,0.199809311,0.238692305
1,High-Low,NCNC,Commercial,HVAC - Cooling,GWh,0,11.03088224,21.10397454,29.93886011,37.86547235,45.39670568,52.72830562,59.80923332,66.83140263,73.59983779,80.5550431,87.54373042
