DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
31622,0,14331.26,57747,57747,57747,115494
30916,0,12769.07,57747,57747,57747,115494
29645,0,11171.34,57747,57747,57747,115494
27928,0,10098.43,57747,57747,57747,115494
26108,0,9266.91,57747,57747,57747,115494
24723,0,8647.52,57747,57747,57747,115494
24027,0,8378.92,57747,57747,57747,115494
23441,0,8188.56,57747,57747,57747,115494
23209,0,7705.79,57747,57747,57747,115494
23408,0,7267.55,57747,57747,57747,115494
24012,1492.62,6957.35,57747,57747,57747,115494
24855,5345.03,5910.75,57747,57747,57747,115494
25405,7519.55,5030.72,57747,57747,57747,115494
25883,8707.61,5244.79,57747,57747,57747,115494
26480,9242.1,6133.18,57747,57747,57747,115494
26787,9210.63,7076.96,57747,57747,57747,115494
26885,8653.49,7741.7,57747,57747,57747,115494
26840,7762.73,8294.8,57747,57747,57747,115494
26798,5512.91,8264.71,57747,57747,57747,115494
27029,1314.13,8831.08,57747,57747,57747,115494
27607,6.5,9460.34,57747,57747,57747,115494
28967,0,9801.91,57747,57747,57747,115494
31425,0,10295.21,57747,57747,57747,115494
32007,0,10419.08,57747,57747,57747,115494
31548,0,10787.62,57747,57747,57747,115494
30688,0,11050.23,57747,57747,57747,115494
29225,0,11252.64,57747,57747,57747,115494
27347,0,11600.79,57747,57747,57747,115494
25627,0,11757.72,57747,57747,57747,115494
24555,0,11781.84,57747,57747,57747,115494
23753,0,11942.94,57747,57747,57747,115494
23385,0,11909.73,57747,57747,57747,115494
23441,0,11794.97,57747,57747,57747,115494
24253,0,11596.39,57747,57747,57747,115494
25932,1213.92,11597.82,57747,57747,57747,115494
27959,4775.01,11363.09,57747,57747,57747,115494
29386,6817.26,10781.82,57747,57747,57747,115494
30422,8185.65,11018.03,57747,57747,57747,115494
30800,8375.22,11950.91,57747,57747,57747,115494
30804,8157.88,12719.96,57747,57747,57747,115494
30621,7629.12,13416.78,57747,57747,57747,115494
30703,6392.95,13614.61,57747,57747,57747,115494
30665,4082.11,13537.13,57747,57747,57747,115494
30777,928.93,14467.3,57747,57747,57747,115494
31020,5.48,15338.15,57747,57747,57747,115494
32018,0,15477.89,57747,57747,57747,115494
34547,0,15133.02,57747,57747,57747,115494
34978,0,14507.28,57747,57747,57747,115494
34224,0,14032.49,57747,57747,57747,115494
33087,0,13601.57,57747,57747,57747,115494
31049,0,12857.13,57747,57747,57747,115494
28519,0,12280.34,57747,57747,57747,115494
26418,0,11756.15,57747,57747,57747,115494
25012,0,11394.04,57747,57747,57747,115494
24132,0,11487.97,57747,57747,57747,115494
23669,0,11948.07,57747,57747,57747,115494
23808,0,12289.99,57747,57747,57747,115494
24918,0,12529.48,57747,57747,57747,115494
27044,1480.84,12740.6,57747,57747,57747,115494
29842,5748.1,12535.09,57747,57747,57747,115494
31640,7591.47,11797.38,57747,57747,57747,115494
32097,8648.55,12279.28,57747,57747,57747,115494
32147,9225.38,13468.37,57747,57747,57747,115494
32444,8793.99,14559.63,57747,57747,57747,115494
32299,8322.74,15881.06,57747,57747,57747,115494
32265,7164.62,17702.54,57747,57747,57747,115494
31816,5172.21,20042.67,57747,57747,57747,115494
31445,1470.73,23805.42,57747,57747,57747,115494
31620,5.41,26708.41,57747,57747,57747,115494
32680,0,27533.7,57747,57747,57747,115494
34782,0,27644.03,57747,57747,57747,115494
35179,0,27467.95,57747,57747,57747,115494
34537,0,27257.07,57747,57747,57747,115494
33380,0,26701.11,57747,57747,57747,115494
31350,0,25599.37,57747,57747,57747,115494
28764,0,24970.29,57747,57747,57747,115494
26469,0,23564.19,57747,57747,57747,115494
25245,0,22765.8,57747,57747,57747,115494
24355,0,21857.44,57747,57747,57747,115494
23860,0,21739.55,57747,57747,57747,115494
23894,0,20327.38,57747,57747,57747,115494
24844,0,19210.72,57747,57747,57747,115494
27102,1702.33,18987.93,57747,57747,57747,115494
30174,6284.91,18328.05,57747,57747,57747,115494
31680,8468.52,17758.57,57747,57747,57747,115494
31516,9481.59,18221.71,57747,57747,57747,115494
31645,9826.69,18415.69,57747,57747,57747,115494
31632,9883.45,18292.93,57747,57747,57747,115494
31243,9466.8,18389.12,57747,57747,57747,115494
30900,8601.07,18259.64,57747,57747,57747,115494
30805,6406.96,18324.27,57747,57747,57747,115494
30773,2192.21,19110.15,57747,57747,57747,115494
30883,10.97,20234.8,57747,57747,57747,115494
32006,0,21366.68,57747,57747,57747,115494
34411,0,23334.06,57747,57747,57747,115494
34933,0,26034.02,57747,57747,57747,115494
34254,0,28897.3,57747,57747,57747,115494
33123,0,31361.04,57747,57747,57747,115494
31164,0,33256.48,57747,57747,57747,115494
28652,0,34686.07,57747,57747,57747,115494
26444,0,36220.91,57747,57747,57747,115494
